timestamp,weekday,month,day,hour,minute,second,year
2025-01-27 23:28:18.422627,Monday,1,27,23,28,18,2025
2025-01-27 23:28:20.424784,Monday,1,27,23,28,20,2025
2025-01-27 23:28:22.426506,Monday,1,27,23,28,22,2025
2025-01-27 23:28:24.427748,Monday,1,27,23,28,24,2025
2025-01-27 23:28:26.429899,Monday,1,27,23,28,26,2025
2025-01-27 23:28:28.431799,Monday,1,27,23,28,28,2025
2025-01-27 23:28:30.433497,Monday,1,27,23,28,30,2025
2025-01-27 23:28:32.435307,Monday,1,27,23,28,32,2025
2025-01-27 23:28:34.435894,Monday,1,27,23,28,34,2025
2025-01-27 23:28:36.437119,Monday,1,27,23,28,36,2025
2025-01-27 23:28:38.438494,Monday,1,27,23,28,38,2025
2025-01-27 23:28:40.440553,Monday,1,27,23,28,40,2025
2025-01-27 23:28:42.441707,Monday,1,27,23,28,42,2025
2025-01-27 23:28:44.442909,Monday,1,27,23,28,44,2025
2025-01-27 23:28:46.444400,Monday,1,27,23,28,46,2025
2025-01-27 23:28:48.465973,Monday,1,27,23,28,48,2025
2025-01-27 23:28:50.468321,Monday,1,27,23,28,50,2025
2025-01-28 17:29:47.264864,Tuesday,1,28,17,29,47,2025
2025-01-28 17:29:49.266446,Tuesday,1,28,17,29,49,2025
2025-01-28 17:29:51.267179,Tuesday,1,28,17,29,51,2025
2025-01-28 17:29:53.267932,Tuesday,1,28,17,29,53,2025
2025-01-28 17:29:55.268877,Tuesday,1,28,17,29,55,2025
2025-01-28 17:29:57.269688,Tuesday,1,28,17,29,57,2025
2025-01-28 17:29:59.270969,Tuesday,1,28,17,29,59,2025
2025-01-28 17:30:01.284477,Tuesday,1,28,17,30,1,2025
2025-01-28 17:30:03.287886,Tuesday,1,28,17,30,3,2025
2025-01-28 17:30:05.290059,Tuesday,1,28,17,30,5,2025
2025-01-28 17:30:07.290733,Tuesday,1,28,17,30,7,2025
2025-01-28 17:30:09.291446,Tuesday,1,28,17,30,9,2025
2025-01-28 17:30:11.292066,Tuesday,1,28,17,30,11,2025
2025-01-28 17:30:13.293644,Tuesday,1,28,17,30,13,2025
2025-01-28 17:30:15.294339,Tuesday,1,28,17,30,15,2025
2025-01-28 17:30:17.295196,Tuesday,1,28,17,30,17,2025
2025-01-28 17:30:19.296610,Tuesday,1,28,17,30,19,2025
2025-01-28 17:30:21.298302,Tuesday,1,28,17,30,21,2025
2025-01-28 17:30:23.300037,Tuesday,1,28,17,30,23,2025
2025-01-28 17:30:25.300929,Tuesday,1,28,17,30,25,2025
2025-01-28 17:30:27.301682,Tuesday,1,28,17,30,27,2025
2025-01-28 17:30:29.302518,Tuesday,1,28,17,30,29,2025
2025-01-28 17:30:31.304133,Tuesday,1,28,17,30,31,2025
2025-01-28 17:30:33.305055,Tuesday,1,28,17,30,33,2025
2025-01-28 17:30:35.305955,Tuesday,1,28,17,30,35,2025
2025-01-28 17:30:37.306615,Tuesday,1,28,17,30,37,2025
2025-01-28 17:30:39.307525,Tuesday,1,28,17,30,39,2025
2025-01-28 17:30:41.308260,Tuesday,1,28,17,30,41,2025
2025-01-28 17:30:43.308925,Tuesday,1,28,17,30,43,2025
2025-01-28 17:30:45.310660,Tuesday,1,28,17,30,45,2025
2025-01-28 17:30:47.312083,Tuesday,1,28,17,30,47,2025
2025-01-28 17:30:49.313955,Tuesday,1,28,17,30,49,2025
2025-01-28 17:30:51.315668,Tuesday,1,28,17,30,51,2025
2025-01-28 17:30:53.316898,Tuesday,1,28,17,30,53,2025
2025-01-28 17:30:55.318050,Tuesday,1,28,17,30,55,2025
2025-01-28 17:30:57.318832,Tuesday,1,28,17,30,57,2025
2025-01-28 17:30:59.320243,Tuesday,1,28,17,30,59,2025
2025-01-28 17:31:01.321378,Tuesday,1,28,17,31,1,2025
2025-01-28 17:31:03.323063,Tuesday,1,28,17,31,3,2025
2025-01-28 17:31:05.324452,Tuesday,1,28,17,31,5,2025
2025-01-28 17:31:07.325551,Tuesday,1,28,17,31,7,2025
2025-01-28 17:31:09.326384,Tuesday,1,28,17,31,9,2025
2025-01-28 17:31:11.328176,Tuesday,1,28,17,31,11,2025
2025-01-28 17:31:13.329238,Tuesday,1,28,17,31,13,2025
2025-01-28 17:31:15.330521,Tuesday,1,28,17,31,15,2025
2025-01-28 17:31:17.332835,Tuesday,1,28,17,31,17,2025
2025-01-28 17:31:19.333605,Tuesday,1,28,17,31,19,2025
2025-01-28 17:31:21.335762,Tuesday,1,28,17,31,21,2025
2025-01-28 17:31:23.336735,Tuesday,1,28,17,31,23,2025
2025-01-28 17:31:25.337813,Tuesday,1,28,17,31,25,2025
2025-01-28 17:31:27.339327,Tuesday,1,28,17,31,27,2025
2025-01-28 17:31:29.340037,Tuesday,1,28,17,31,29,2025
2025-01-28 17:31:31.341677,Tuesday,1,28,17,31,31,2025
2025-01-28 17:31:33.342126,Tuesday,1,28,17,31,33,2025
2025-01-28 17:31:35.342845,Tuesday,1,28,17,31,35,2025
2025-01-28 17:31:37.344475,Tuesday,1,28,17,31,37,2025
2025-01-28 17:31:39.345190,Tuesday,1,28,17,31,39,2025
2025-01-28 17:31:41.346848,Tuesday,1,28,17,31,41,2025
2025-01-28 17:31:43.348286,Tuesday,1,28,17,31,43,2025
2025-01-28 17:31:45.348862,Tuesday,1,28,17,31,45,2025
